,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_type,policy_level
1156,Arizona,No,2,High School or Below,Employed,F,Suburban,Married,2,Call Center,Four-Door Car,2,S,3
1157,California,No,3,High School or Below,Employed,M,Urban,Single,1,Branch,SUV,2,P,2
1158,Oregon,No,1,Master and Above,Employed,F,Rural,Married,2,Branch,Luxury Car,1,P,3
1159,Washington,Yes,1,High School or Below,Employed,M,Suburban,Married,2,Branch,SUV,2,P,2
1160,California,No,3,College,Employed,M,Suburban,Married,2,Agent,Luxury Car,2,P,3
1161,California,No,1,High School or Below,Employed,F,Rural,Married,2,Agent,Luxury Car,2,P,3
1162,California,No,3,College,Employed,F,Rural,Single,1,Agent,SUV,2,C,3
1163,California,No,1,Bachelor,Unemployed,M,Suburban,Single,2,Agent,SUV,2,P,3
1164,Oregon,No,1,Bachelor,Employed,M,Suburban,Married,2,Agent,SUV,2,P,3
1165,Arizona,No,1,College,Unemployed,M,Suburban,Single,2,Web,Four-Door Car,2,C,3
1166,Arizona,No,1,Bachelor,Employed,M,Rural,Single,3,Call Center,Four-Door Car,2,P,2
1167,Oregon,No,1,Master and Above,Employed,F,Urban,Married,3,Branch,Two-Door Car,2,P,1
1168,Oregon,No,1,High School or Below,Unemployed,M,Suburban,Married,1,Agent,Two-Door Car,2,P,3
1169,California,No,3,High School or Below,Unemployed,M,Suburban,Single,1,Web,Four-Door Car,2,P,3
1170,Oregon,No,1,College,Employed,M,Urban,Married,1,Branch,Four-Door Car,2,P,1
1171,Oregon,No,2,Bachelor,Employed,M,Suburban,Single,4,Agent,Four-Door Car,3,C,1
1172,California,No,2,High School or Below,Unemployed,M,Suburban,Married,3,Branch,SUV,2,P,3
1173,Oregon,No,2,Bachelor,Employed,F,Suburban,Married,1,Branch,SUV,3,S,2
1174,Washington,No,3,Master and Above,Unemployed,M,Suburban,Single,1,Call Center,SUV,2,P,3
1175,California,Yes,1,Bachelor,Employed,M,Suburban,Married,2,Agent,Two-Door Car,2,C,1
1176,Oregon,No,3,Bachelor,Employed,F,Rural,Married,3,Web,Four-Door Car,2,P,1
1177,California,No,2,Bachelor,Employed,F,Urban,Married,2,Web,SUV,2,P,3
1178,California,No,1,High School or Below,Other,F,Suburban,Married,2,Agent,Four-Door Car,2,P,3
1179,Oregon,No,1,College,Employed,F,Urban,Married,3,Branch,Four-Door Car,2,C,1
1180,Arizona,No,1,Bachelor,Employed,F,Suburban,Single,2,Web,Two-Door Car,2,S,1
1181,California,No,1,College,Other,F,Suburban,Single,3,Branch,Four-Door Car,1,P,2
1182,California,No,1,Master and Above,Employed,F,Urban,Single,1,Agent,SUV,3,P,3
1183,Arizona,No,1,College,Unemployed,F,Urban,Single,1,Agent,Four-Door Car,2,C,3
1184,Washington,No,1,High School or Below,Employed,F,Urban,Single,1,Agent,SUV,1,P,3
1185,Oregon,Yes,1,Master and Above,Employed,M,Rural,Single,1,Agent,Four-Door Car,3,C,1
1186,California,No,2,High School or Below,Unemployed,M,Suburban,Married,2,Web,Four-Door Car,2,P,2
1187,Oregon,No,2,College,Employed,M,Suburban,Married,2,Call Center,Luxury Car,2,C,3
1188,Nevada,No,1,College,Unemployed,M,Suburban,Married,1,Web,Four-Door Car,2,P,3
1189,Nevada,No,1,Bachelor,Unemployed,M,Suburban,Single,3,Branch,SUV,2,P,3
1190,Arizona,No,1,Bachelor,Employed,M,Suburban,Married,2,Branch,Four-Door Car,2,P,1
1191,Washington,No,2,College,Other,F,Urban,Married,3,Web,Two-Door Car,2,C,2
1192,Oregon,No,2,High School or Below,Unemployed,M,Suburban,Single,3,Branch,Four-Door Car,2,P,2
1193,Arizona,No,3,Bachelor,Employed,M,Urban,Married,1,Call Center,SUV,3,P,1
1194,California,No,1,College,Employed,F,Suburban,Married,2,Branch,Four-Door Car,2,P,2
1195,Arizona,No,1,High School or Below,Employed,F,Suburban,Married,3,Call Center,Four-Door Car,2,P,1
1196,Oregon,No,1,Bachelor,Employed,M,Suburban,Married,1,Call Center,Four-Door Car,2,P,3
1197,Arizona,No,1,High School or Below,Unemployed,F,Suburban,Married,1,Agent,Four-Door Car,2,P,3
1198,California,No,3,High School or Below,Employed,M,Rural,Married,4,Agent,SUV,2,P,3
1199,Oregon,No,1,High School or Below,Employed,M,Urban,Single,3,Agent,Four-Door Car,2,P,3
1200,Nevada,Yes,2,Master and Above,Employed,F,Suburban,Single,2,Agent,Luxury Car,2,P,1
1201,Washington,No,2,College,Employed,F,Rural,Married,1,Branch,Four-Door Car,2,C,3
1202,Oregon,No,2,Bachelor,Employed,M,Suburban,Single,4,Call Center,Four-Door Car,2,C,2
1203,California,No,1,Bachelor,Unemployed,F,Suburban,Single,4,Agent,Four-Door Car,2,P,2
1204,Oregon,Yes,1,College,Other,F,Suburban,Single,1,Agent,SUV,1,P,2
1205,Arizona,Yes,1,College,Unemployed,F,Suburban,Married,2,Agent,Four-Door Car,2,P,1
1206,Oregon,Yes,2,College,Employed,M,Rural,Married,2,Agent,Luxury Car,2,P,3
1207,California,No,2,Master and Above,Employed,F,Urban,Married,2,Call Center,Four-Door Car,1,P,1
1208,California,Yes,1,Bachelor,Employed,M,Suburban,Single,1,Agent,Four-Door Car,2,C,3
1209,Washington,No,1,Bachelor,Employed,M,Rural,Single,3,Branch,Four-Door Car,2,P,3
1210,Arizona,No,1,Bachelor,Unemployed,M,Suburban,Single,1,Branch,Two-Door Car,3,C,2
1211,California,No,2,College,Other,F,Suburban,Married,4,Web,Four-Door Car,2,P,2
1212,California,No,1,College,Employed,F,Rural,Single,1,Agent,Two-Door Car,3,P,3
1213,Nevada,No,1,High School or Below,Unemployed,F,Suburban,Single,2,Branch,Four-Door Car,1,P,3
1214,Washington,No,2,Bachelor,Employed,F,Suburban,Married,1,Web,Four-Door Car,2,P,1
1215,California,No,2,Master and Above,Employed,F,Suburban,Married,4,Agent,Two-Door Car,1,P,1
1216,California,No,1,Bachelor,Employed,F,Rural,Married,1,Agent,Four-Door Car,2,P,3
1217,California,No,1,Bachelor,Unemployed,M,Urban,Married,2,Branch,Four-Door Car,2,P,3
1218,Arizona,No,1,High School or Below,Employed,M,Urban,Married,2,Branch,Four-Door Car,3,P,2
1219,California,No,1,Bachelor,Employed,F,Urban,Single,1,Agent,SUV,1,P,1
1220,California,No,1,High School or Below,Employed,M,Rural,Married,1,Branch,SUV,2,C,3
1221,Oregon,No,2,Master and Above,Employed,F,Rural,Married,2,Call Center,Four-Door Car,2,C,3
1222,Washington,No,1,Bachelor,Employed,F,Suburban,Single,1,Agent,Four-Door Car,1,P,3
1223,Oregon,No,2,Bachelor,Employed,F,Suburban,Married,1,Branch,Two-Door Car,1,C,3
1224,Arizona,No,1,High School or Below,Employed,M,Suburban,Married,3,Branch,Four-Door Car,1,S,3
1225,California,No,2,High School or Below,Unemployed,M,Suburban,Single,3,Call Center,Four-Door Car,3,P,2
1226,California,No,3,Bachelor,Unemployed,F,Suburban,Married,1,Web,Two-Door Car,2,P,1
1227,Arizona,No,1,College,Employed,M,Urban,Married,2,Web,Four-Door Car,2,P,3
1228,California,Yes,1,Bachelor,Employed,F,Urban,Single,2,Web,Two-Door Car,2,C,2
1229,Oregon,No,1,College,Employed,M,Suburban,Married,1,Web,Four-Door Car,1,P,3
1230,Oregon,Yes,2,High School or Below,Employed,F,Suburban,Married,1,Branch,SUV,2,P,3
1231,California,No,3,High School or Below,Employed,F,Suburban,Married,1,Branch,Two-Door Car,3,C,3
1232,Oregon,No,2,Bachelor,Other,F,Rural,Married,1,Web,Two-Door Car,3,P,3
1233,California,No,2,High School or Below,Employed,F,Urban,Single,1,Agent,SUV,2,S,3
1234,California,Yes,1,High School or Below,Other,M,Suburban,Married,1,Web,Luxury Car,2,P,3
1235,Washington,No,3,High School or Below,Employed,F,Suburban,Married,3,Branch,Two-Door Car,1,C,3
1236,Washington,No,1,Bachelor,Employed,M,Rural,Single,1,Branch,Four-Door Car,3,P,3
1237,California,No,1,High School or Below,Employed,F,Rural,Married,2,Call Center,Two-Door Car,2,P,3
1238,California,No,2,High School or Below,Employed,M,Rural,Married,2,Agent,Four-Door Car,2,P,2
1239,Arizona,No,1,College,Employed,F,Suburban,Married,3,Branch,SUV,2,P,1
1240,California,No,2,College,Employed,F,Suburban,Married,1,Branch,Luxury Car,2,P,1
1241,Oregon,Yes,1,College,Employed,M,Urban,Single,2,Agent,Two-Door Car,2,P,2
1242,Washington,No,3,High School or Below,Employed,F,Suburban,Single,2,Agent,Four-Door Car,2,P,3
1243,Washington,No,2,College,Other,M,Suburban,Married,3,Agent,Four-Door Car,2,P,3
1244,Arizona,No,2,College,Employed,M,Urban,Married,2,Web,SUV,2,P,3
1245,California,Yes,2,High School or Below,Other,F,Suburban,Married,1,Agent,Two-Door Car,1,P,2
1246,Washington,No,2,College,Employed,M,Suburban,Married,3,Call Center,Four-Door Car,2,P,3
1247,California,No,2,College,Unemployed,F,Suburban,Single,3,Agent,SUV,2,P,2
1248,Arizona,Yes,1,High School or Below,Employed,M,Rural,Married,2,Agent,Two-Door Car,2,P,2
1249,Oregon,No,2,College,Other,F,Suburban,Married,3,Call Center,Four-Door Car,1,P,2
1250,Washington,Yes,2,High School or Below,Unemployed,M,Suburban,Married,1,Agent,SUV,2,C,1
1251,Nevada,Yes,2,College,Other,F,Suburban,Single,1,Agent,Luxury Car,2,P,1
1252,Arizona,No,1,High School or Below,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,2,P,3
1253,Nevada,No,1,High School or Below,Unemployed,M,Suburban,Married,2,Web,Four-Door Car,2,P,3
1254,Oregon,No,2,High School or Below,Unemployed,M,Suburban,Married,2,Call Center,Four-Door Car,1,P,3
1255,Oregon,Yes,1,Bachelor,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,2,P,3
1256,Oregon,No,2,Master and Above,Employed,F,Suburban,Single,2,Branch,Four-Door Car,1,P,3
1257,California,No,2,College,Employed,F,Urban,Single,2,Branch,Two-Door Car,2,P,2
1258,California,No,3,High School or Below,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,2,S,2
1259,Oregon,No,1,Master and Above,Employed,F,Rural,Married,2,Web,SUV,2,S,3
1260,Nevada,No,1,Master and Above,Other,F,Rural,Married,3,Branch,Four-Door Car,2,P,1
1261,Nevada,No,1,High School or Below,Employed,F,Suburban,Married,3,Agent,Two-Door Car,2,C,3
1262,Oregon,No,1,College,Unemployed,F,Suburban,Single,3,Branch,SUV,1,P,3
1263,Nevada,No,1,High School or Below,Employed,M,Suburban,Married,2,Call Center,SUV,1,P,2
1264,California,No,1,High School or Below,Unemployed,M,Suburban,Single,3,Web,Four-Door Car,2,C,2
1265,California,No,3,College,Other,M,Urban,Married,1,Call Center,Four-Door Car,3,C,3
1266,Arizona,No,2,Bachelor,Employed,M,Suburban,Married,1,Agent,Two-Door Car,1,P,1
1267,Oregon,Yes,1,High School or Below,Employed,M,Suburban,Single,2,Web,SUV,2,P,1
1268,Nevada,No,1,Bachelor,Employed,F,Suburban,Married,4,Agent,Two-Door Car,2,P,3
1269,Oregon,No,2,High School or Below,Employed,F,Urban,Single,1,Agent,Four-Door Car,2,P,2
1270,Arizona,No,1,College,Employed,F,Suburban,Single,1,Branch,Two-Door Car,2,C,1
1271,Arizona,No,2,Bachelor,Unemployed,F,Suburban,Married,4,Agent,Four-Door Car,2,C,1
1272,Oregon,Yes,2,High School or Below,Other,F,Suburban,Married,1,Agent,Two-Door Car,1,P,1
1273,Washington,No,2,Bachelor,Unemployed,F,Suburban,Married,1,Agent,Four-Door Car,1,P,3
1274,Oregon,No,1,College,Employed,M,Urban,Married,1,Branch,Four-Door Car,2,P,3
1275,Oregon,Yes,3,High School or Below,Unemployed,M,Suburban,Married,2,Web,SUV,2,P,3
1276,Oregon,No,1,Master and Above,Employed,M,Urban,Married,2,Web,Four-Door Car,2,P,3
1277,California,No,1,High School or Below,Unemployed,F,Suburban,Single,2,Agent,Two-Door Car,2,P,3
1278,California,No,1,College,Employed,F,Suburban,Single,3,Agent,Two-Door Car,2,P,3
1279,Washington,No,3,Master and Above,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,3
1280,Oregon,No,1,High School or Below,Unemployed,M,Suburban,Single,3,Call Center,SUV,2,P,2
1281,Oregon,No,3,Bachelor,Employed,F,Suburban,Married,1,Web,Two-Door Car,2,C,2
1282,Oregon,No,2,College,Employed,F,Rural,Single,1,Agent,Two-Door Car,2,C,3
1283,Oregon,Yes,2,Bachelor,Employed,F,Suburban,Single,1,Agent,Luxury Car,2,P,2
1284,California,No,1,Bachelor,Unemployed,M,Suburban,Single,2,Branch,SUV,2,C,3
1285,Oregon,No,1,Master and Above,Employed,F,Rural,Married,2,Call Center,Four-Door Car,3,P,3
1286,Oregon,Yes,2,College,Employed,M,Rural,Married,2,Agent,Luxury Car,2,P,3
1287,Washington,No,1,High School or Below,Employed,F,Urban,Married,3,Agent,SUV,2,P,3
1288,Oregon,No,1,Bachelor,Employed,F,Rural,Married,1,Call Center,SUV,2,P,3
1289,Arizona,No,1,Bachelor,Employed,F,Rural,Married,2,Web,Four-Door Car,2,P,1
1290,Nevada,No,3,Bachelor,Employed,M,Urban,Married,3,Branch,Two-Door Car,2,P,3
1291,California,No,1,High School or Below,Employed,F,Rural,Married,3,Call Center,SUV,2,P,1
1292,Oregon,Yes,3,Bachelor,Employed,F,Suburban,Single,2,Agent,Luxury Car,2,C,2
1293,Arizona,Yes,1,College,Employed,M,Suburban,Married,2,Agent,Four-Door Car,3,P,2
1294,Oregon,No,3,High School or Below,Unemployed,M,Suburban,Single,4,Agent,SUV,2,P,3
1295,California,No,1,Bachelor,Employed,M,Rural,Married,4,Agent,Four-Door Car,2,P,2
1296,Washington,No,2,High School or Below,Employed,M,Suburban,Single,1,Call Center,Four-Door Car,2,C,2
1297,Oregon,Yes,3,College,Employed,M,Suburban,Married,2,Branch,Four-Door Car,2,P,1
1298,California,No,2,College,Employed,M,Suburban,Married,2,Branch,Four-Door Car,2,P,3
1299,Arizona,Yes,1,Bachelor,Unemployed,M,Suburban,Married,2,Agent,SUV,2,C,2
1300,Oregon,No,2,Bachelor,Employed,F,Urban,Married,2,Web,Luxury Car,2,P,2
1301,Oregon,Yes,1,Bachelor,Unemployed,M,Suburban,Married,2,Agent,Two-Door Car,2,P,2
1302,Washington,No,1,Master and Above,Employed,F,Urban,Single,2,Call Center,Two-Door Car,2,P,1
1303,California,No,2,Master and Above,Other,F,Urban,Married,3,Agent,Four-Door Car,2,P,2
1304,California,Yes,1,Bachelor,Employed,M,Suburban,Single,1,Call Center,SUV,2,P,3
1305,California,No,2,College,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,S,3
1306,Oregon,No,1,Bachelor,Employed,F,Rural,Married,1,Call Center,Two-Door Car,2,S,2
1307,Nevada,Yes,1,Master and Above,Other,M,Suburban,Single,1,Call Center,Four-Door Car,1,P,1
1308,Arizona,No,1,Bachelor,Employed,F,Urban,Married,3,Agent,Two-Door Car,2,P,2
1309,California,No,1,Master and Above,Unemployed,M,Urban,Married,3,Branch,Four-Door Car,2,P,2
1310,California,Yes,2,College,Employed,M,Rural,Married,2,Agent,Luxury Car,2,P,2
1311,California,No,1,Bachelor,Other,F,Suburban,Married,4,Branch,Four-Door Car,1,P,2
1312,Oregon,No,2,High School or Below,Employed,M,Suburban,Single,1,Web,Luxury Car,2,P,2
1313,California,No,2,High School or Below,Employed,F,Suburban,Married,2,Branch,Luxury Car,2,P,2
1314,Arizona,No,2,High School or Below,Unemployed,M,Suburban,Single,2,Branch,Luxury Car,2,C,3
1315,Oregon,No,2,High School or Below,Unemployed,F,Suburban,Single,1,Agent,SUV,2,P,3
1316,Nevada,No,1,High School or Below,Employed,F,Rural,Single,2,Web,Two-Door Car,2,C,3
1317,Arizona,No,2,Master and Above,Employed,M,Urban,Single,2,Call Center,Four-Door Car,2,S,2
1318,California,No,2,College,Employed,M,Suburban,Married,1,Agent,Luxury Car,3,P,3
1319,Washington,No,1,Bachelor,Employed,M,Urban,Married,2,Agent,SUV,2,P,1
1320,Washington,No,1,High School or Below,Employed,F,Suburban,Married,2,Web,Four-Door Car,1,C,3
1321,California,No,2,College,Employed,M,Rural,Married,2,Call Center,Four-Door Car,2,P,1
1322,Washington,No,2,College,Unemployed,M,Suburban,Single,3,Agent,Four-Door Car,2,P,2
1323,Arizona,No,2,High School or Below,Employed,F,Suburban,Married,2,Web,Four-Door Car,2,C,2
1324,Oregon,No,1,College,Unemployed,M,Suburban,Single,1,Agent,Two-Door Car,2,C,3
1325,Washington,No,3,Bachelor,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,1,P,2
1326,Arizona,No,2,High School or Below,Employed,F,Rural,Married,1,Call Center,Two-Door Car,2,P,2
1327,Oregon,No,2,High School or Below,Unemployed,F,Suburban,Single,1,Branch,Four-Door Car,1,P,1
1328,Oregon,No,1,High School or Below,Employed,M,Rural,Married,4,Branch,Two-Door Car,3,P,3
1329,Oregon,No,1,High School or Below,Unemployed,M,Suburban,Married,2,Branch,Two-Door Car,1,P,1
1330,Oregon,No,1,High School or Below,Employed,F,Rural,Single,2,Branch,SUV,1,P,2
1331,Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,3,Call Center,Four-Door Car,2,C,3
1332,California,No,1,Master and Above,Unemployed,F,Suburban,Married,4,Branch,Two-Door Car,2,P,3
1333,Arizona,No,3,High School or Below,Employed,M,Suburban,Married,3,Agent,Two-Door Car,1,P,1
1334,Oregon,No,2,Bachelor,Employed,M,Suburban,Single,3,Agent,Four-Door Car,3,P,3
1335,Washington,No,2,College,Unemployed,F,Suburban,Single,1,Call Center,SUV,2,C,1
1336,California,No,1,College,Other,M,Suburban,Single,1,Call Center,Four-Door Car,2,P,3
1337,California,No,1,High School or Below,Unemployed,M,Suburban,Single,2,Call Center,Two-Door Car,2,C,3
1338,Oregon,No,1,Bachelor,Unemployed,F,Suburban,Married,3,Branch,Four-Door Car,3,P,3
1339,Arizona,No,2,Master and Above,Employed,F,Rural,Married,2,Agent,SUV,2,C,3
1340,Nevada,No,2,Bachelor,Employed,F,Urban,Married,4,Branch,Four-Door Car,2,P,3
1341,California,No,1,College,Employed,M,Rural,Married,2,Agent,Four-Door Car,2,P,3
1342,California,No,1,Master and Above,Employed,M,Urban,Married,2,Call Center,Luxury Car,1,P,1
1343,Washington,No,1,College,Other,F,Urban,Married,1,Agent,Four-Door Car,2,P,3
1344,Oregon,No,2,College,Other,F,Urban,Married,1,Agent,Four-Door Car,2,P,3
1345,Oregon,No,1,Bachelor,Employed,M,Urban,Married,2,Agent,Four-Door Car,2,P,3
1346,Arizona,No,2,College,Employed,F,Rural,Married,3,Agent,SUV,1,P,3
1347,Nevada,No,2,High School or Below,Employed,M,Rural,Married,2,Call Center,Four-Door Car,2,P,3
1348,Oregon,No,2,College,Employed,F,Suburban,Married,1,Agent,Four-Door Car,2,P,2
1349,Oregon,No,1,Bachelor,Employed,M,Rural,Married,1,Call Center,Four-Door Car,2,P,2
1350,Oregon,Yes,1,High School or Below,Other,F,Suburban,Single,1,Agent,SUV,2,C,3
1351,Oregon,No,1,Master and Above,Employed,F,Urban,Married,2,Branch,Two-Door Car,2,P,1
1352,Oregon,No,1,High School or Below,Employed,F,Suburban,Married,4,Web,Four-Door Car,3,P,2
1353,California,No,2,Bachelor,Employed,M,Urban,Married,2,Branch,Four-Door Car,3,P,2
1354,Oregon,No,2,High School or Below,Employed,M,Suburban,Single,2,Agent,Four-Door Car,1,P,3
1355,California,No,3,Bachelor,Unemployed,M,Suburban,Single,1,Agent,Two-Door Car,2,C,3
1356,Washington,No,1,Bachelor,Employed,M,Urban,Single,1,Branch,Two-Door Car,2,C,2
1357,Arizona,Yes,2,High School or Below,Other,M,Suburban,Single,2,Agent,SUV,2,P,3
1358,Oregon,No,1,Bachelor,Unemployed,F,Suburban,Married,1,Call Center,Two-Door Car,2,P,3
1359,Washington,Yes,1,College,Employed,M,Suburban,Married,2,Agent,Four-Door Car,3,P,3
1360,Arizona,No,2,College,Employed,F,Suburban,Married,2,Branch,Four-Door Car,2,P,1
1361,Washington,No,1,Bachelor,Unemployed,M,Suburban,Single,4,Call Center,Two-Door Car,2,P,3
1362,California,No,1,High School or Below,Employed,M,Suburban,Married,4,Agent,SUV,2,P,1
1363,Oregon,No,2,High School or Below,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,1,P,3
1364,California,Yes,2,Master and Above,Employed,F,Suburban,Single,2,Agent,Luxury Car,2,P,1
1365,Washington,No,2,College,Employed,M,Suburban,Married,3,Agent,SUV,2,P,3
1366,Oregon,No,1,Bachelor,Employed,F,Suburban,Married,2,Agent,Four-Door Car,2,P,1
1367,California,No,1,Master and Above,Employed,F,Rural,Married,1,Web,SUV,3,P,3
1368,California,Yes,1,Bachelor,Employed,M,Suburban,Married,2,Agent,Two-Door Car,2,P,3
1369,Arizona,No,2,Bachelor,Employed,F,Urban,Married,3,Call Center,Four-Door Car,2,P,2
1370,Washington,No,1,College,Unemployed,F,Suburban,Single,1,Web,Four-Door Car,2,P,3
1371,Nevada,No,2,High School or Below,Employed,F,Suburban,Married,3,Agent,Two-Door Car,2,P,3
1372,Oregon,No,1,Bachelor,Employed,M,Suburban,Married,2,Web,Two-Door Car,2,P,2
1373,California,No,1,High School or Below,Employed,F,Suburban,Single,1,Branch,Four-Door Car,1,P,3
1374,Washington,No,2,Bachelor,Unemployed,M,Suburban,Single,2,Web,Four-Door Car,1,S,2
1375,Arizona,No,1,College,Employed,F,Suburban,Single,2,Call Center,Two-Door Car,2,P,1
1376,Oregon,No,1,High School or Below,Unemployed,F,Suburban,Single,2,Agent,Four-Door Car,2,P,1
1377,California,No,2,Bachelor,Unemployed,M,Suburban,Single,4,Web,Two-Door Car,2,P,1
1378,Oregon,No,2,High School or Below,Employed,F,Rural,Married,3,Agent,Four-Door Car,2,P,3
1379,Oregon,No,1,Master and Above,Employed,F,Urban,Single,1,Agent,Four-Door Car,2,P,1
1380,Oregon,No,1,Master and Above,Employed,F,Urban,Single,4,Branch,Luxury Car,2,P,3
1381,Washington,No,1,Bachelor,Employed,M,Suburban,Married,2,Agent,SUV,3,P,3
1382,California,No,1,Bachelor,Employed,M,Rural,Single,3,Agent,Luxury Car,2,P,3
1383,Washington,No,3,Bachelor,Other,M,Suburban,Married,3,Branch,Luxury Car,1,P,3
1384,Nevada,No,2,Bachelor,Unemployed,M,Suburban,Single,1,Branch,SUV,2,C,2
1385,Arizona,No,1,College,Other,F,Suburban,Single,1,Call Center,Four-Door Car,2,P,3
1386,Oregon,No,1,Bachelor,Other,F,Urban,Single,2,Branch,Two-Door Car,2,C,3
1387,Oregon,No,1,College,Other,M,Suburban,Single,1,Branch,Four-Door Car,2,P,3
1388,Oregon,Yes,1,College,Employed,M,Suburban,Married,2,Web,Four-Door Car,2,C,1
1389,Washington,Yes,1,High School or Below,Employed,F,Urban,Married,2,Branch,SUV,3,C,3
1390,California,No,1,High School or Below,Employed,M,Suburban,Married,2,Call Center,Two-Door Car,1,P,2
1391,Arizona,Yes,2,College,Employed,F,Suburban,Single,1,Branch,Four-Door Car,2,P,3
1392,Arizona,No,1,High School or Below,Unemployed,M,Suburban,Single,3,Agent,SUV,2,P,3
1393,Washington,No,2,Bachelor,Employed,F,Suburban,Single,1,Call Center,Four-Door Car,2,P,3
1394,California,Yes,1,College,Unemployed,M,Suburban,Single,1,Agent,Two-Door Car,2,P,1
1395,Nevada,No,2,High School or Below,Employed,F,Rural,Married,3,Call Center,Four-Door Car,2,P,3
1396,Oregon,No,2,High School or Below,Employed,F,Rural,Married,1,Agent,Four-Door Car,3,P,2
1397,Washington,No,1,Master and Above,Employed,M,Rural,Married,3,Call Center,Four-Door Car,2,P,2
1398,Nevada,No,3,High School or Below,Employed,M,Suburban,Single,1,Agent,Four-Door Car,2,S,3
1399,Arizona,No,2,High School or Below,Employed,M,Suburban,Married,2,Call Center,Two-Door Car,2,P,2
1400,California,Yes,1,Master and Above,Other,F,Urban,Married,1,Agent,Two-Door Car,2,P,3
1401,Nevada,No,1,Master and Above,Employed,M,Suburban,Single,3,Call Center,Four-Door Car,2,P,3
1402,Nevada,No,3,College,Employed,F,Suburban,Single,2,Agent,Luxury Car,2,P,3
1403,Oregon,Yes,2,High School or Below,Other,F,Suburban,Married,2,Agent,Four-Door Car,3,P,3
1404,Arizona,Yes,1,Bachelor,Employed,F,Urban,Married,1,Branch,SUV,2,P,2
1405,Oregon,No,1,Bachelor,Employed,F,Suburban,Single,2,Agent,Four-Door Car,2,P,3
1406,California,Yes,1,High School or Below,Employed,M,Suburban,Married,2,Agent,Four-Door Car,1,C,1
1407,Nevada,No,2,High School or Below,Other,F,Suburban,Single,1,Web,Four-Door Car,1,P,3
1408,Arizona,No,2,Master and Above,Employed,M,Urban,Single,1,Call Center,Luxury Car,2,P,3
1409,Arizona,Yes,1,High School or Below,Other,F,Suburban,Single,1,Agent,Four-Door Car,2,P,2
1410,Oregon,No,1,College,Employed,F,Rural,Single,4,Agent,SUV,3,P,3
1411,Oregon,Yes,1,Bachelor,Employed,M,Urban,Single,1,Agent,Two-Door Car,2,S,3
1412,Oregon,No,1,High School or Below,Employed,F,Urban,Single,1,Call Center,Four-Door Car,2,P,3
1413,Oregon,No,1,Master and Above,Employed,F,Rural,Single,2,Branch,Two-Door Car,1,P,3
1414,California,No,1,Master and Above,Other,F,Rural,Single,1,Branch,Four-Door Car,2,C,2
1415,California,No,1,College,Employed,M,Suburban,Single,2,Branch,Four-Door Car,2,P,3
1416,California,No,2,College,Employed,M,Rural,Married,2,Web,Four-Door Car,2,P,3
1417,Arizona,No,1,High School or Below,Employed,F,Rural,Married,1,Agent,Four-Door Car,2,P,3
1418,California,Yes,2,College,Employed,F,Urban,Married,2,Branch,Four-Door Car,2,P,3
1419,California,Yes,1,Bachelor,Other,M,Suburban,Married,1,Branch,Four-Door Car,2,P,3
1420,Oregon,Yes,1,High School or Below,Other,M,Suburban,Single,1,Branch,SUV,2,P,3
1421,Nevada,Yes,1,College,Employed,F,Suburban,Single,2,Call Center,Four-Door Car,2,P,3
1422,Arizona,Yes,1,Bachelor,Other,F,Suburban,Married,2,Call Center,Four-Door Car,2,P,3
1423,Nevada,No,2,High School or Below,Unemployed,F,Suburban,Single,1,Branch,Four-Door Car,3,P,3
1424,California,No,2,High School or Below,Employed,F,Suburban,Married,1,Agent,Two-Door Car,3,P,2
1425,Oregon,No,1,Bachelor,Employed,M,Urban,Married,3,Branch,SUV,2,P,3
1426,Oregon,No,1,College,Employed,M,Urban,Single,4,Branch,Four-Door Car,2,C,1
1427,Nevada,No,1,College,Employed,M,Suburban,Married,3,Branch,Two-Door Car,3,P,1
1428,Nevada,No,2,Bachelor,Other,F,Suburban,Married,1,Agent,SUV,1,C,3
1429,California,No,1,College,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,3,P,1
1430,Arizona,No,1,College,Employed,F,Suburban,Married,1,Branch,Two-Door Car,2,P,1
1431,California,No,2,High School or Below,Unemployed,M,Suburban,Single,1,Agent,Two-Door Car,2,P,3
1432,California,No,1,High School or Below,Employed,F,Suburban,Married,1,Agent,Four-Door Car,2,S,1
1433,Arizona,No,1,Bachelor,Employed,M,Rural,Married,3,Agent,Four-Door Car,2,P,3
1434,Nevada,No,3,Master and Above,Employed,M,Suburban,Married,1,Branch,Two-Door Car,2,P,3
1435,Nevada,No,1,Bachelor,Employed,M,Rural,Married,1,Agent,Luxury Car,1,P,3
1436,Nevada,Yes,2,Master and Above,Employed,M,Suburban,Married,1,Branch,Two-Door Car,2,P,1
